Rg,Spieler,Land,Pos,Verein,Alt,Geboren,90,SCA,SCA-90,AktivPass,ToterPass,Dribb.,Sc,Gef,Vert.,GCA,GCA-90,AktivPass,ToterPass,Dribb.,Sc,Gef,Vert.,ET,Spiele
357,Marco Reus\Marco-Reus,de GER,MFFW,Dortmund,31-261,1989,14.7,51,346,31,6,4,5,3,2,7,048,4,1,0,1,0,1,0,Spiele
358,Elvis Rexhbeçaj\Elvis-Rexhbecaj,de GER,MFFW,Köln,23-107,1997,14.4,32,222,13,10,1,3,4,1,4,028,2,0,0,1,0,1,0,Spiele
359,Gio Reyna\Gio-Reyna,us USA,FWMF,Dortmund,18-095,2002,14.7,52,355,33,4,6,2,7,0,9,061,5,1,1,1,1,0,0,Spiele
360,Chris Richards\Chris-Richards,us USA,DF,Bayern Munich,20-325,2000,1.0,3,303,3,0,0,0,0,0,1,101,1,0,0,0,0,0,0,Spiele
361,Chris Richards\Chris-Richards,us USA,DF,Hoffenheim,20-325,2000,1.0,1,100,1,0,0,0,0,0,0,000,0,0,0,0,0,0,0,Spiele
362,Marco Richter\Marco-Richter,de GER,FWMF,Augsburg,23-084,1997,7.9,18,228,7,1,7,0,2,1,1,013,0,0,0,0,0,1,0,Spiele
363,Marc Roca\Marc-Roca,es ESP,MF,Bayern Munich,24-082,1996,1.0,2,200,1,0,1,0,0,0,0,000,0,0,0,0,0,0,0,Spiele
364,Sebastian Rode\Sebastian-Rode,de GER,MF,Eint Frankfurt,30-128,1990,10.1,28,276,23,1,1,0,3,0,3,030,2,0,0,0,1,0,0,Spiele
365,Jérôme Roussillon\Jerome-Roussillon,fr FRA,DF,Wolfsburg,28-041,1993,10.3,16,155,15,0,0,1,0,0,1,010,1,0,0,0,0,0,0,Spiele
366,Sebastian Rudy\Sebastian-Rudy,de GER,DF,Schalke 04,30-354,1990,2.0,4,200,1,3,0,0,0,0,0,000,0,0,0,0,0,0,0,Spiele
367,Sebastian Rudy\Sebastian-Rudy,de GER,MFDF,Hoffenheim,30-354,1990,12.8,33,259,25,7,1,0,0,0,4,031,3,1,0,0,0,0,0,Spiele
368,Julian Ryerson\Julian-Ryerson,no NOR,DFMF,Union Berlin,23-091,1997,5.6,4,071,4,0,0,0,0,0,0,000,0,0,0,0,0,0,0,Spiele
369,Frederik Rønnow\Frederik-Ronnow,dk DEN,TW,Schalke 04,28-196,1992,6.5,0,000,0,0,0,0,0,0,0,000,0,0,0,0,0,0,0,Spiele
370,João Victor Santos Sá\Joao-Victor-Santos-Sa,br BRA,FWMF,Wolfsburg,26-326,1994,3.0,12,399,8,0,1,2,0,1,1,033,1,0,0,0,0,0,0,Spiele
371,Marcel Sabitzer\Marcel-Sabitzer,at AUT,MF,RB Leipzig,26-336,1994,13.1,35,267,32,0,0,3,0,0,3,023,2,0,0,1,0,0,0,Spiele
372,Roland Sallai\Roland-Sallai,hu HUN,MFFW,Freiburg,23-270,1997,10.6,20,188,15,1,0,2,2,0,5,047,3,0,0,1,1,0,0,Spiele
373,Lazar Samardzic\Lazar-Samardzic,de GER,MFFW,RB Leipzig,18-358,2002,2.0,4,202,3,0,1,0,0,0,1,051,1,0,0,0,0,0,0,Spiele
374,Diadie Samassékou\Diadie-Samassekou,ml MLI,MF,Hoffenheim,25-036,1996,17.6,23,130,17,1,1,2,0,2,4,023,3,0,0,1,0,0,0,Spiele
375,Jadon Sancho\Jadon-Sancho,eng ENG,FW,Dortmund,20-328,2000,17.7,88,498,60,18,5,2,2,1,14,079,9,1,1,1,2,0,0,Spiele
376,Leroy Sané\Leroy-Sane,de GER,FWMF,Bayern Munich,25-036,1996,11.4,37,354,29,2,5,0,1,0,8,077,8,0,0,0,0,0,0,Spiele
